customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00001,Male,0,Yes,No,63,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),83.98,5298.36,No
CUST-00002,Female,1,Yes,Yes,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),25.36,86.99,No
CUST-00003,Male,0,No,Yes,42,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),56.28,2364.64,No
CUST-00004,Male,0,Yes,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.62,445.83,No
CUST-00005,Male,0,Yes,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),18.25,676.66,No
CUST-00006,Female,1,Yes,No,49,Yes,No,DSL,No,Yes,No,No,No,Yes,One year,No,Electronic check,57.19,2797.11,No
CUST-00007,Male,0,Yes,No,22,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,66.88,1476.53,Yes
CUST-00008,Male,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Mailed check,79.72,3329.25,Yes
CUST-00009,Male,0,No,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.74,689.11,No
CUST-00010,Female,0,No,No,5,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),93.35,478.17,No
CUST-00011,Male,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.84,191.72,No
CUST-00012,Male,0,No,No,9,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,109.05,996.94,Yes
