gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,ChargePerTenure,NumServices,HighValue,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TenureGroup_1-2yr,TenureGroup_2-4yr,TenureGroup_4+yr
0,0,0,1,31,1,1,61.3,1911.35,0,1.92,2,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False
0,0,1,0,11,1,1,92.08,1037.32,1,7.67,2,1,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1,0,1,1,3,1,1,56.38,171.57,0,14.1,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1,0,0,0,67,1,0,86.55,5800.51,0,1.27,3,1,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True
0,0,1,1,10,1,0,91.37,922.95,1,8.31,3,1,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False
0,0,1,1,3,1,0,51.12,154.34,1,12.78,2,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
1,0,0,0,29,1,0,76.0,2214.3,0,2.53,4,0,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False
1,0,1,0,55,1,1,90.09,4960.33,1,1.61,2,1,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True
1,0,0,1,60,1,0,68.6,4110.47,0,1.12,2,0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True
1,0,1,0,47,1,0,31.17,1467.58,0,0.65,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False
0,0,1,0,70,1,1,97.4,6819.4,0,1.37,3,1,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True
0,0,0,1,27,1,1,81.48,2191.07,0,2.91,5,0,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
1,1,1,0,41,1,1,72.64,2983.07,0,1.73,2,0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
0,0,0,0,6,1,1,74.2,448.58,1,10.6,3,0,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1,0,1,0,69,1,0,103.1,7119.48,0,1.47,3,1,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True
1,0,0,0,47,1,0,74.35,3506.48,1,1.55,1,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
1,0,0,1,40,1,0,61.35,2450.7,1,1.5,1,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
0,0,1,0,43,1,1,23.01,1002.32,1,0.52,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False
0,0,0,0,34,1,0,79.26,2711.51,1,2.26,0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False
